policy,S,M,N,F,i,u0,C1,C2,stage,feasible,message,p30,max_delay_ms,mean_delay_ms,unreachable_rate,reachable_count,sample_count,robustness_margin
strict_Tmax30,1600,40,40,33,51.0,4.5,0.99957,0.985254,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,49.75,18.0,0.999908,0.985181,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,33,51.0,0.0,0.999565,0.985138,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,49.75,0.0,0.999917,0.985099,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,49.75,9.0,0.999896,0.98505,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,27,49.75,27.0,0.999902,0.985023,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,33,51.0,2.25,0.999609,0.984815,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,33,51.0,6.75,0.999599,0.984793,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,39,50.0,4.5,0.999808,0.984228,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,39,50.0,6.75,0.999803,0.984094,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,39,50.0,2.25,0.999794,0.984064,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,40,40,39,50.0,0.0,0.999808,0.9839,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,26,50.25,9.0,0.999685,0.972025,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,26,50.25,18.0,0.999736,0.972023,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,26,50.25,27.0,0.999729,0.972019,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1600,160,10,26,50.25,0.0,0.999736,0.971921,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,50.0,7.5,1.0,0.994183,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,91,50.25,7.5,0.999991,0.993281,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,91,49.75,7.5,1.0,0.993274,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,50.0,15.0,0.999766,0.993268,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,50.25,7.5,1.0,0.993151,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,50.0,0.0,0.999687,0.993112,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,90,50.0,22.5,0.999256,0.993099,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,91,49.75,0.0,1.0,0.993085,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,91,50.25,0.0,0.999995,0.993068,delay_lower_bound_reject,,,,,,,,,
strict_Tmax30,1620,135,12,91,49.75,22.5,1.0,0.993055,delay_lower_bound_reject,,,,,,,,,
