t_s,u,v,load_gbps
7200.0,423,424,0.1363636363636363
7200.0,1458,1459,0.1363636363636363
7200.0,424,425,0.12121212121212116
7200.0,426,427,0.12121212121212116
7200.0,390,428,0.12121212121212116
7200.0,352,390,0.12121212121212116
7200.0,1456,1457,0.10606060606060602
7200.0,1457,1458,0.10606060606060602
7200.0,425,426,0.09090909090909088
8100.0,1218,1256,0.15151515151515144
8100.0,1256,1294,0.15151515151515144
8100.0,1294,1332,0.15151515151515144
8100.0,1332,1370,0.15151515151515144
8100.0,1370,1408,0.15151515151515144
8100.0,1408,1446,0.15151515151515144
8100.0,35,1446,0.15151515151515144
8100.0,35,73,0.15151515151515144
8100.0,1452,1453,0.12121212121212116
8100.0,230,268,0.12121212121212116
9000.0,452,453,0.1363636363636363
9000.0,449,450,0.12121212121212116
9000.0,450,451,0.12121212121212116
9000.0,453,454,0.12121212121212116
9000.0,451,452,0.10606060606060602
9000.0,454,492,0.10606060606060602
9000.0,492,530,0.10606060606060602
9000.0,530,568,0.10606060606060602
9000.0,568,606,0.10606060606060602
9000.0,606,644,0.10606060606060602
9900.0,29,30,0.1363636363636363
9900.0,1440,1479,0.10606060606060602
9900.0,28,29,0.10606060606060602
9900.0,1478,1479,0.09090909090909088
9900.0,27,28,0.09090909090909088
9900.0,481,482,0.09090909090909088
9900.0,482,483,0.09090909090909088
9900.0,485,486,0.09090909090909088
9900.0,103,141,0.09090909090909088
9900.0,141,179,0.09090909090909088
10800.0,443,481,0.12121212121212116
10800.0,405,443,0.12121212121212116
10800.0,515,516,0.10606060606060602
10800.0,516,517,0.10606060606060602
10800.0,480,519,0.10606060606060602
10800.0,480,481,0.10606060606060602
10800.0,517,518,0.09090909090909088
10800.0,1472,1473,0.09090909090909088
10800.0,1473,1474,0.09090909090909088
10800.0,21,22,0.09090909090909088
11700.0,509,510,0.15151515151515144
11700.0,513,514,0.15151515151515144
11700.0,510,511,0.1363636363636363
11700.0,511,512,0.12121212121212116
11700.0,514,515,0.12121212121212116
11700.0,516,554,0.12121212121212116
11700.0,554,592,0.12121212121212116
11700.0,592,630,0.12121212121212116
11700.0,512,513,0.10606060606060602
11700.0,478,516,0.10606060606060602
12600.0,503,504,0.15151515151515144
12600.0,504,505,0.1363636363636363
12600.0,505,506,0.12121212121212116
12600.0,278,316,0.12121212121212116
12600.0,50,51,0.12121212121212116
12600.0,49,50,0.10606060606060602
12600.0,317,355,0.10606060606060602
12600.0,620,621,0.10606060606060602
12600.0,506,507,0.09090909090909088
12600.0,507,508,0.09090909090909088
13500.0,535,536,0.12121212121212116
13500.0,536,537,0.12121212121212116
13500.0,537,538,0.12121212121212116
13500.0,539,540,0.12121212121212116
13500.0,82,83,0.12121212121212116
13500.0,4,5,0.09090909090909088
13500.0,538,539,0.09090909090909088
13500.0,542,580,0.09090909090909088
13500.0,580,618,0.09090909090909088
13500.0,504,542,0.09090909090909088
14400.0,116,117,0.15151515151515144
14400.0,115,116,0.10606060606060602
14400.0,77,78,0.09090909090909088
14400.0,113,114,0.09090909090909088
14400.0,114,115,0.09090909090909088
14400.0,529,530,0.09090909090909088
14400.0,530,531,0.09090909090909088
14400.0,531,532,0.09090909090909088
14400.0,191,192,0.09090909090909088
14400.0,189,227,0.09090909090909088
15300.0,566,567,0.1363636363636363
15300.0,337,375,0.1363636363636363
15300.0,375,376,0.1363636363636363
15300.0,562,563,0.12121212121212116
15300.0,563,564,0.12121212121212116
15300.0,27,65,0.12121212121212116
15300.0,27,1478,0.12121212121212116
15300.0,220,258,0.12121212121212116
