S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1600,160,10,27,50.25,9.0,1.0,0.98618,1,0.0,3.1984
1600,160,10,27,50.25,18.0,1.0,0.986074,1,0.0,3.1985
1600,160,10,27,50.25,27.0,1.0,0.986001,1,0.0,3.198
1600,160,10,28,49.75,0.0,0.999799,0.990524,0,300.0,3.1905
1600,160,10,28,49.75,9.0,0.999848,0.990677,0,300.0,3.19
1600,160,10,28,49.75,18.0,0.999804,0.990623,0,300.0,3.19
1600,160,10,28,49.75,27.0,0.99977,0.991081,0,300.0,3.1909
1600,160,10,28,50.25,0.0,0.999775,0.989667,0,300.0,3.1986
1600,160,10,28,50.25,9.0,0.999834,0.989331,0,300.0,3.1981
1600,160,10,28,50.25,18.0,0.999795,0.989637,0,300.0,3.1987
1600,160,10,28,50.25,27.0,0.999765,0.990049,0,300.0,3.1985
1600,64,25,15,50.75,0.0,0.99999,0.989874,0,300.0,3.1864
1600,64,25,15,50.75,3.6,0.999995,0.989884,0,300.0,3.186
1600,64,25,15,50.75,7.2,0.999995,0.990014,0,300.0,3.1869
1600,64,25,15,50.75,10.8,1.0,0.989977,1,0.0,3.1868
1600,64,25,15,51.25,0.0,0.999966,0.987977,0,300.0,3.1793
1600,64,25,15,51.25,3.6,0.999975,0.987876,0,300.0,3.1795
1600,64,25,15,51.25,7.2,0.999966,0.988069,0,300.0,3.1801
1600,64,25,15,51.25,10.8,0.999975,0.988127,0,300.0,3.18
1600,64,25,16,50.75,0.0,0.999995,0.990358,0,300.0,3.1855
1600,64,25,16,50.75,3.6,1.0,0.990472,1,0.0,3.1859
1600,64,25,16,50.75,7.2,1.0,0.990304,1,0.0,3.1856
1600,64,25,16,50.75,10.8,1.0,0.990316,1,0.0,3.1861
1600,64,25,16,51.25,0.0,0.999943,0.988525,0,300.0,3.1792
1600,64,25,16,51.25,3.6,0.999923,0.98848,0,300.0,3.1795
1600,64,25,16,51.25,7.2,0.999923,0.98854,0,300.0,3.1797
1600,64,25,16,51.25,10.8,0.999943,0.988566,0,300.0,3.179
1600,64,25,17,50.75,0.0,0.999976,0.989645,0,300.0,3.1861
1600,64,25,17,50.75,3.6,0.999971,0.98965,0,300.0,3.186
1600,64,25,17,50.75,7.2,0.99998,0.989775,0,300.0,3.186
1600,64,25,17,50.75,10.8,0.999961,0.989789,0,300.0,3.1866
1600,64,25,17,51.25,0.0,0.999975,0.988622,0,300.0,3.1802
1600,64,25,17,51.25,3.6,0.999971,0.988196,0,300.0,3.1793
1600,64,25,17,51.25,7.2,0.999975,0.988099,0,300.0,3.1794
1600,64,25,17,51.25,10.8,0.999966,0.988258,0,300.0,3.1798
1620,36,45,24,50.0,0.0,0.999971,0.992266,0,300.0,3.2352
1620,36,45,24,50.0,2.0,0.999961,0.992342,0,300.0,3.2362
1620,36,45,24,50.0,4.0,0.999971,0.992181,0,300.0,3.2354
1620,36,45,24,50.0,6.0,0.999976,0.992229,0,300.0,3.2363
1620,60,27,10,50.0,0.0,0.999903,0.98843,0,300.0,3.2352
1620,60,27,10,50.0,3.333,0.999889,0.98863,0,300.0,3.236
1620,60,27,10,50.0,6.667,0.999922,0.988517,0,300.0,3.2355
1620,60,27,10,50.0,10.0,0.999898,0.988563,0,300.0,3.2361
1620,60,27,10,50.0,0.0,0.999903,0.98843,0,300.0,3.2352
1620,60,27,10,50.0,3.333,0.999889,0.98863,0,300.0,3.236
1620,60,27,10,50.0,6.667,0.999922,0.988517,0,300.0,3.2355
1620,60,27,10,50.0,10.0,0.999898,0.988563,0,300.0,3.2361
1620,90,18,22,50.0,0.0,1.0,0.985853,1,0.0,3.2354
1620,90,18,22,50.0,5.0,1.0,0.985719,1,0.0,3.2356
1620,90,18,22,50.0,10.0,1.0,0.985778,1,0.0,3.2364
1620,90,18,22,50.0,15.0,1.0,0.985899,1,0.0,3.2363
1620,90,18,22,50.0,0.0,1.0,0.985853,1,0.0,3.2354
1620,90,18,22,50.0,5.0,1.0,0.985719,1,0.0,3.2356
1620,90,18,22,50.0,10.0,1.0,0.985778,1,0.0,3.2364
1620,90,18,22,50.0,15.0,1.0,0.985899,1,0.0,3.2363
1620,36,45,18,50.0,0.0,0.998924,0.985306,0,300.0,3.2355
1620,36,45,18,50.0,2.0,0.998899,0.985415,0,300.0,3.2361
1620,36,45,18,50.0,4.0,0.998924,0.985273,0,300.0,3.2353
1620,36,45,18,50.0,6.0,0.998875,0.985398,0,300.0,3.2362
1620,60,27,10,51.0,0.0,0.99999,0.983042,0,300.0,3.2222
1620,60,27,10,51.0,3.333,0.999981,0.982905,0,300.0,3.2226
1620,60,27,10,51.0,6.667,0.999995,0.983057,0,300.0,3.2224
1620,60,27,10,51.0,10.0,0.999985,0.982924,0,300.0,3.2225
1620,60,27,10,51.0,0.0,0.99999,0.983042,0,300.0,3.2222
1620,60,27,10,51.0,3.333,0.999981,0.982905,0,300.0,3.2226
1620,60,27,10,51.0,6.667,0.999995,0.983057,0,300.0,3.2224
1620,60,27,10,51.0,10.0,0.999985,0.982924,0,300.0,3.2225
1620,36,45,18,50.0,0.0,0.998924,0.985306,0,300.0,3.2355
1620,36,45,18,50.0,2.0,0.998899,0.985415,0,300.0,3.2361
1620,36,45,18,50.0,4.0,0.998924,0.985273,0,300.0,3.2353
1620,36,45,18,50.0,6.0,0.998875,0.985398,0,300.0,3.2362
1620,36,45,18,51.0,0.0,0.999085,0.978023,0,300.0,3.2222
1620,36,45,18,51.0,2.0,0.999075,0.97785,0,300.0,3.2221
1620,36,45,18,51.0,4.0,0.99908,0.978059,0,300.0,3.222
