S,M,N,F,i,u0,C1,C2,c_min,max_gap_s,avg_mult
1580,79,20,39,51.0,0.0,0.998332,0.956277,0,900.0,3.1732
1580,79,20,39,51.0,9.0,0.998536,0.956337,0,900.0,3.1686
1580,79,20,40,49.0,0.0,0.981408,0.915977,0,10800.0,3.0042
1580,79,20,40,49.0,9.0,0.982699,0.914404,0,10800.0,3.0055
1580,79,20,40,50.0,0.0,0.995282,0.949772,0,900.0,3.097
1580,79,20,40,50.0,9.0,0.995688,0.948799,0,900.0,3.0975
1580,79,20,40,51.0,0.0,0.996347,0.942134,0,900.0,3.1731
1580,79,20,40,51.0,9.0,0.996451,0.938813,0,900.0,3.1707
1580,79,20,53,49.0,0.0,0.924085,0.77309,0,3600.0,3.0046
1580,79,20,53,49.0,9.0,0.924787,0.773744,0,2700.0,3.0078
1580,79,20,53,50.0,0.0,0.950572,0.846137,0,3600.0,3.1012
1580,79,20,53,50.0,9.0,0.950218,0.845964,0,2700.0,3.0951
1580,79,20,53,51.0,0.0,0.954858,0.869658,0,3600.0,3.1696
1580,79,20,53,51.0,9.0,0.955123,0.870733,0,2700.0,3.1783
1580,79,20,66,49.0,0.0,0.696307,0.641779,0,86400.0,3.0042
1580,79,20,66,49.0,9.0,0.697578,0.644283,0,86400.0,3.0132
1580,79,20,66,50.0,0.0,0.707535,0.651219,0,82800.0,3.0936
1580,79,20,66,50.0,9.0,0.709028,0.653116,0,86400.0,3.1033
1580,79,20,66,51.0,0.0,0.714848,0.655797,0,75600.0,3.1662
1580,79,20,66,51.0,9.0,0.715095,0.656112,0,83700.0,3.1792
1580,79,20,78,49.0,0.0,0.89715,0.797254,0,2700.0,3.0047
1580,79,20,78,49.0,9.0,0.896013,0.794542,0,2700.0,3.0024
1580,79,20,78,50.0,0.0,0.909103,0.811833,0,2700.0,3.0974
1580,79,20,78,50.0,9.0,0.9087,0.812384,0,2700.0,3.0985
1580,79,20,78,51.0,0.0,0.905933,0.80678,0,2700.0,3.167
1580,79,20,78,51.0,9.0,0.906177,0.806745,0,2700.0,3.1676
1580,158,10,0,49.0,0.0,0.641949,0.617682,0,3600.0,3.0077
1580,158,10,0,49.0,18.0,0.643001,0.617553,0,3600.0,3.0082
1580,158,10,0,50.0,0.0,0.659683,0.636635,0,2700.0,3.096
1580,158,10,0,50.0,18.0,0.659856,0.634779,0,2700.0,3.0963
1580,158,10,0,51.0,0.0,0.669305,0.64598,0,2700.0,3.1728
1580,158,10,0,51.0,18.0,0.670846,0.647711,0,2700.0,3.1739
1580,158,10,1,49.0,0.0,0.673455,0.642357,0,2700.0,3.0029
1580,158,10,1,49.0,18.0,0.67381,0.642079,0,2700.0,3.0047
1580,158,10,1,50.0,0.0,0.689757,0.661923,0,2700.0,3.0926
1580,158,10,1,50.0,18.0,0.690737,0.662845,0,2700.0,3.0942
1580,158,10,1,51.0,0.0,0.695041,0.667853,0,3600.0,3.169
1580,158,10,1,51.0,18.0,0.696682,0.669208,0,3600.0,3.1751
1580,158,10,26,49.0,0.0,0.978515,0.952675,0,900.0,3.0018
1580,158,10,26,49.0,18.0,0.978464,0.952355,0,900.0,3.0013
1580,158,10,26,50.0,0.0,0.998034,0.975557,0,900.0,3.089
1580,158,10,26,50.0,18.0,0.998165,0.975849,0,900.0,3.0877
1580,158,10,26,51.0,0.0,0.99975,0.97486,0,900.0,3.1725
1580,158,10,26,51.0,18.0,0.999749,0.97486,0,900.0,3.1717
