sequence,mode,stage,candidate_key,elapsed_s
4513,saturation,high,"[30,60,8,50.0,0.0,0.0]",1306.9494148000013
4514,saturation,high,"[30,60,12,50.0,0.0,0.0]",1306.9525065999987
4515,saturation,high,"[30,60,13,50.0,0.0,0.0]",1306.9543348000007
4516,saturation,high,"[30,60,11,50.0,0.0,0.0]",1306.9572323999964
4517,saturation,high,"[40,45,31,50.0,0.0,0.0]",1306.960747899997
4518,saturation,high,"[30,60,10,50.0,0.0,0.0]",1306.9653811000026
4519,saturation,high,"[36,50,22,50.0,0.0,0.0]",1306.9758766000014
4520,saturation,high,"[36,50,21,50.0,0.0,0.0]",1306.9781182000006
4521,saturation,high,"[30,60,9,50.0,0.0,0.0]",1306.9805799999958
4522,saturation,high,"[36,50,28,50.0,0.0,0.0]",1306.983311899996
4523,saturation,high,"[36,50,29,50.0,0.0,0.0]",1306.9869307000045
4524,saturation,high,"[40,45,32,50.0,0.0,0.0]",1306.9908935999993
4525,saturation,high,"[36,50,23,50.0,0.0,0.0]",1306.9935952000014
4526,saturation,high,"[36,50,31,50.0,0.0,0.0]",1306.9969383999996
4527,saturation,high,"[36,50,30,50.0,0.0,0.0]",1307.0018017999973
4528,saturation,high,"[30,60,25,50.0,0.0,0.0]",1307.004316999999
4529,saturation,high,"[30,60,24,50.0,0.0,0.0]",1307.006836200002
4530,saturation,high,"[40,45,5,50.0,0.0,0.0]",1307.0095865999974
4531,saturation,high,"[36,50,32,50.0,0.0,0.0]",1307.0108914999946
4532,saturation,high,"[40,45,0,50.0,0.0,0.0]",1307.0123856999999
4533,saturation,high,"[30,60,16,50.0,0.0,0.0]",1307.013910499998
4534,saturation,high,"[40,45,2,50.0,0.0,0.0]",1307.016171000003
4535,saturation,high,"[40,45,3,50.0,0.0,0.0]",1307.0190067000003
4536,saturation,high,"[36,50,9,50.0,0.0,0.0]",1307.021868900003
4537,saturation,high,"[36,50,27,50.0,0.0,0.0]",1307.0245030000005
4538,saturation,high,"[36,50,34,50.0,0.0,0.0]",1307.0269726000042
4539,saturation,high,"[40,45,4,50.0,0.0,0.0]",1307.0305453000037
4540,saturation,high,"[36,50,33,50.0,0.0,0.0]",1307.0342265
4541,saturation,high,"[30,60,17,50.0,0.0,0.0]",1307.0361668000041
4542,saturation,high,"[36,50,26,50.0,0.0,0.0]",1307.0382919999975
4543,saturation,high,"[40,45,37,50.0,0.0,0.0]",1307.040047399998
4544,saturation,high,"[36,50,10,50.0,0.0,0.0]",1307.0418073999972
4545,saturation,high,"[40,45,1,50.0,0.0,0.0]",1307.0443758999972
4546,saturation,high,"[30,60,18,50.0,0.0,0.0]",1307.0463786999971
4547,saturation,high,"[40,45,38,50.0,0.0,0.0]",1307.0493965999995
4548,saturation,high,"[36,50,2,50.0,0.0,0.0]",1307.0548327999932
4549,saturation,high,"[40,45,36,50.0,0.0,0.0]",1307.0577115999986
4550,saturation,high,"[45,40,10,50.0,0.0,0.0]",1307.0603680000058
4551,saturation,high,"[36,50,1,50.0,0.0,0.0]",1307.0638729999991
4552,saturation,high,"[36,50,35,50.0,0.0,0.0]",1307.066030300004
4553,saturation,high,"[36,50,0,50.0,0.0,0.0]",1307.0689991000036
4554,saturation,high,"[36,50,8,50.0,0.0,0.0]",1307.071626500001
4555,saturation,high,"[45,40,9,50.0,0.0,0.0]",1307.074150499997
4556,saturation,high,"[40,45,33,50.0,0.0,0.0]",1307.0769536000007
4557,saturation,high,"[40,45,39,50.0,0.0,0.0]",1307.0800011000028
4558,saturation,high,"[40,45,6,50.0,0.0,0.0]",1307.0832178000055
4559,saturation,high,"[40,45,8,50.0,0.0,0.0]",1307.0870744999993
4560,saturation,high,"[40,45,7,50.0,0.0,0.0]",1307.0893083000046
4561,saturation,high,"[40,45,35,50.0,0.0,0.0]",1307.0912826999993
4562,saturation,high,"[40,45,34,50.0,0.0,0.0]",1307.0937993999978
4563,saturation,high,"[45,40,11,50.0,0.0,0.0]",1307.0954106999998
4564,saturation,high,"[45,40,7,50.0,0.0,0.0]",1307.0969794999983
4565,saturation,high,"[36,50,4,50.0,0.0,0.0]",1307.0993092999997
4566,saturation,high,"[45,40,8,50.0,0.0,0.0]",1307.101469000001
4567,saturation,high,"[36,50,25,50.0,0.0,0.0]",1307.1051584000015
4568,saturation,high,"[45,40,12,50.0,0.0,0.0]",1307.1078172999987
