N,spacing_deg,spacing_km,given_radius_506km_linear_overlap,given_radius_506km_area_overlap_flat,given_radius_506km_band_half_width_deg,given_radius_506km_is_continuous,cone_angle_40.46deg_linear_overlap,cone_angle_40.46deg_area_overlap_flat,cone_angle_40.46deg_band_half_width_deg,cone_angle_40.46deg_is_continuous
61,5.9016393442622945,656.2323539678875,0.35154905734398467,0.23657495354394242,3.465681754825935,1,0.3238994578855956,0.2102002421701595,3.217204567746983,1
62,5.806451612903226,645.647961161954,0.36200794351585586,0.24677112636300397,3.5056333532393937,1,0.3348043053390537,0.22049924488876746,3.2602097251330657,1
63,5.714285714285714,635.3995808260499,0.37213480155528667,0.25675360833479427,3.543276538394707,1,0.34536296715906867,0.23059987898887072,3.3006598866622534,1
64,5.625,625.4714623756429,0.38194519528098536,0.2665246198627279,3.578798425118244,1,0.3555916707972082,0.24050213508834914,3.338770425893246,1
65,5.538461538461538,615.8488244929406,0.391453730738201,0.2760869551821397,3.6123661474375974,1,0.36550564509263583,0.2502068777585105,3.3747325439356275,1
66,5.454545454545454,606.517781697593,0.4006741287573191,0.28544385863572086,3.644129546925994,1,0.37511919592456555,0.25971567683573604,3.408716715252762,1
67,5.373134328358209,597.4652774931515,0.40961929101467254,0.29459892297541906,3.674223421635311,1,0.38444577508987055,0.2690306684819357,3.4408755340487005,1
68,5.294117647058823,588.6790234123698,0.41830136026445675,0.30355600565860874,3.7027694201745263,1,0.39349804310325476,0.27815444044215576,3.4713460841710764,1
69,5.217391304347826,580.1474433629152,0.4267317753330878,0.3123191599036133,3.729877646837403,1,0.402287926536541,0.28708993708400166,3.500251926578626,1
70,5.142857142857143,571.8596227434449,0.43492132139975803,0.32089257789428854,3.7556480296441097,1,0.4108266704431618,0.2958403806825797,3.5277047771350025,1
71,5.070422535211268,563.8052618597344,0.4428801760279304,0.329280544016371,3.7801714924797527,1,0.4191248863524131,0.3044092061007264,3.5538059316085784,1
72,5.0,555.9746332227936,0.4506179513608759,0.3374873964000245,3.803530964305132,1,0.42719259626418515,0.3128000065540904,3.57864748276287,1
73,4.931506849315069,548.358542356728,0.45814373284908305,0.34551749535619825,3.8258022520396993,1,0.4350392730276894,0.32101648857845494,3.602313365267778,1
74,4.864864864864865,540.9482917843397,0.4654661148376089,0.3533751975461983,3.847054798738289,1,0.4426738774462342,0.3290624346580297,3.624880257110713,1
75,4.8,533.7356478938818,0.4725932333064409,0.3610648349273627,3.867352344741949,1,0.45010489241361773,0.3369416722474541,3.6464183606944256,1
76,4.7368421052631575,526.712810421594,0.4795327960260929,0.3685906976829566,3.886753506359717,1,0.45734035435554377,0.34465804814144413,3.6669920825075306,1
77,4.675324675324675,519.8723843122226,0.48629211036341635,0.375957020479165,3.905312284130647,1,0.4643878822210562,0.35221540732548984,3.6866606268427096,1
78,4.615384615384615,513.2073537441172,0.4928781089485008,0.38316797150240356,3.923078510696062,1,0.4712547042438632,0.3596175755873267,3.705478516327872,1
79,4.556962025316456,506.7110581271031,0.4992973733921906,0.3902276438208759,3.940098246676091,1,0.47794768267115606,0.36686834528871565,3.7234960498585394,1
80,4.5,500.3771699005143,0.5055561562247883,0.3971400486891203,3.9564141316033408,1,0.4844733366377666,0.37397146379555785,3.7407597067564917,1
