planes,sats_per_plane,total_satellites,phase_factor,inclination_deg,raan0_deg,u0_deg,C1,C2,avg_multiplicity,c_min,max_gap_s,strict_double_time_rate
3,40,120,2,58.0,0.0,0.0,0.22877200727270125,0.013286252492740064,0.24211022561487186,0,16320.0,0.0
3,40,120,2,60.0,0.0,0.0,0.21784465231793593,0.01336496995285067,0.2312593535697462,0,16680.0,0.0
1,130,130,0,48.5,0.0,0.0,0.1605410916530246,0.14434130244215915,0.421367849130202,0,21720.0,0.0
1,130,130,0,50.0,0.0,0.0,0.1653916955239769,0.14942173511014004,0.43192541312527793,0,21720.0,0.0
1,130,130,0,52.0,0.0,0.0,0.16402719606216218,0.14887322421820584,0.4356623132071136,0,21720.0,0.0
1,130,130,0,54.0,0.0,0.0,0.1619164311874126,0.1462834827556853,0.4286099325065118,0,21720.0,0.0
1,130,130,0,56.0,0.0,0.0,0.15918756684656404,0.14423278599253367,0.41940228448339917,0,21720.0,0.0
1,130,130,0,58.0,0.0,0.0,0.15048838191760427,0.13488422928256613,0.39397629589325994,0,21720.0,0.0
1,130,130,0,60.0,0.0,0.0,0.14304325694623915,0.12857822442403719,0.3746517105157371,0,21720.0,0.0
2,65,130,0,48.5,0.0,0.0,0.19427311865286215,0.07572406326967113,0.2715708999206387,0,21720.0,0.0
2,65,130,0,50.0,0.0,0.0,0.20024992245538073,0.07665758421843434,0.27848122467192055,0,21720.0,0.0
2,65,130,0,52.0,0.0,0.0,0.2005413033509234,0.07974920315286989,0.2820133135754035,0,21720.0,0.0
2,65,130,0,54.0,0.0,0.0,0.19952856571189084,0.07929302247081256,0.2806769188752067,0,21720.0,0.0
2,65,130,0,56.0,0.0,0.0,0.19848698500950915,0.07830285162854504,0.27874439339274426,0,21720.0,0.0
2,65,130,0,58.0,0.0,0.0,0.1912116029636233,0.07509882129676064,0.26856274252837575,0,21720.0,0.0
2,65,130,0,60.0,0.0,0.0,0.18616188680278659,0.07333442377406252,0.2619301822096367,0,21720.0,0.0
2,65,130,1,48.5,0.0,0.0,0.19416259636581262,0.075920286670895,0.2714081192456386,0,21720.0,0.0
2,65,130,1,50.0,0.0,0.0,0.2002026732941173,0.07669615574137426,0.2782737616022574,0,21720.0,0.0
2,65,130,1,52.0,0.0,0.0,0.2003727931494867,0.0798382053969543,0.28183441290238137,0,21720.0,0.0
2,65,130,1,54.0,0.0,0.0,0.19939865306282895,0.07955765193215553,0.2806791120665946,0,21720.0,0.0
2,65,130,1,56.0,0.0,0.0,0.19851759863614035,0.07833260090922083,0.2787055302378645,0,21720.0,0.0
2,65,130,1,58.0,0.0,0.0,0.19128544218561602,0.07519275850587825,0.2686149774249123,0,21720.0,0.0
2,65,130,1,60.0,0.0,0.0,0.18620084857486394,0.0733619962143868,0.26196391882378117,0,21720.0,0.0
1,140,140,0,48.5,0.0,0.0,0.1608197904992568,0.14668943096663092,0.45277741718597503,0,21720.0,0.0
1,140,140,0,50.0,0.0,0.0,0.16579702456536816,0.15204246266801344,0.46495138489971055,0,21720.0,0.0
1,140,140,0,52.0,0.0,0.0,0.1645465294351691,0.15151599431695548,0.4687540113338309,0,21720.0,0.0
1,140,140,0,54.0,0.0,0.0,0.16224386106952338,0.14886904680257304,0.4624292190806358,0,21720.0,0.0
1,140,140,0,56.0,0.0,0.0,0.1596586163278096,0.14689525854120564,0.4510637265546454,0,21720.0,0.0
1,140,140,0,58.0,0.0,0.0,0.15075928543176412,0.1374877845181866,0.4237346698269171,0,21720.0,0.0
1,140,140,0,60.0,0.0,0.0,0.143315178821989,0.13079192510855636,0.40393404752405576,0,21720.0,0.0
2,70,140,0,48.5,0.0,0.0,0.19580099141462293,0.09412270944616855,0.29167963883762493,0,21720.0,0.0
2,70,140,0,50.0,0.0,0.0,0.2018471991357115,0.09587133393520239,0.29959042921602885,0,21720.0,0.0
2,70,140,0,52.0,0.0,0.0,0.2026999426011486,0.09946934753377862,0.30415714444832365,0,21720.0,0.0
2,70,140,0,54.0,0.0,0.0,0.20092710236864272,0.09959525411959964,0.30270899623297837,0,21720.0,0.0
2,70,140,0,56.0,0.0,0.0,0.20059896801679833,0.09679545780352992,0.29982938070075577,0,21720.0,0.0
2,70,140,0,58.0,0.0,0.0,0.19310353711131995,0.09255148559789281,0.28843710215381085,0,21720.0,0.0
2,70,140,0,60.0,0.0,0.0,0.18779296922097663,0.0906657666233637,0.28162098743159086,0,21720.0,0.0
2,70,140,1,48.5,0.0,0.0,0.19572964219414504,0.09496987711665951,0.2925382845506962,0,21720.0,0.0
2,70,140,1,50.0,0.0,0.0,0.20202465290881072,0.0967688052957674,0.3006984852549163,0,21720.0,0.0
2,70,140,1,52.0,0.0,0.0,0.20245042690213724,0.10039963147892242,0.3048544781470677,0,21720.0,0.0
2,70,140,1,54.0,0.0,0.0,0.20109597575343277,0.09997409132006398,0.30327327227084444,0,21720.0,0.0
2,70,140,1,56.0,0.0,0.0,0.20060172349240585,0.09641214583640124,0.2994653896618462,0,21720.0,0.0
2,70,140,1,58.0,0.0,0.0,0.19318446186918126,0.09242202668330185,0.28833920494621235,0,21720.0,0.0
2,70,140,1,60.0,0.0,0.0,0.18771147656789053,0.09102291003737803,0.28178142996491135,0,21720.0,0.0
1,150,150,0,48.5,0.0,0.0,0.16108831031940476,0.14866802024533368,0.4854263151336378,0,21720.0,0.0
1,150,150,0,50.0,0.0,0.0,0.16624608433504923,0.1541351731678456,0.4982304144109391,0,21720.0,0.0
1,150,150,0,52.0,0.0,0.0,0.16487883462511507,0.15334081172410988,0.5014914595434434,0,21720.0,0.0
1,150,150,0,54.0,0.0,0.0,0.1624605867145678,0.1509556891456296,0.49501648114753816,0,21720.0,0.0
1,150,150,0,56.0,0.0,0.0,0.15983321198349654,0.14895848266464462,0.4831812414544298,0,21720.0,0.0
1,150,150,0,58.0,0.0,0.0,0.15099619206257311,0.13931734197892995,0.45392253244759906,0,21720.0,0.0
1,150,150,0,60.0,0.0,0.0,0.14367799471831308,0.1330357705104307,0.4330154281188157,0,21720.0,0.0
2,75,150,0,48.5,0.0,0.0,0.19725268663579051,0.11342739155006924,0.3129164142884307,0,21720.0,0.0
